날짜시간,항공사,가격
2025-01-18 00:00:00-18:45,제주항공,"195,000"
2025-01-18 00:00:00-15:20,진에어,"206,500"
2025-01-18 00:00:00-16:55,진에어,"206,500"
2025-01-18 00:00:00-06:30,제주항공,"208,700"
2025-01-18 00:00:00-07:55,아시아나항공,"229,100"
2025-01-18 00:00:00-06:50,아시아나항공,"229,100"
2025-01-18 00:00:00-08:10,아시아나항공,"229,100"
2025-01-19 00:00:00-06:30,제주항공,"140,700"
2025-01-19 00:00:00-07:55,제주항공,"140,700"
2025-01-19 00:00:00-15:20,제주항공,"140,700"
2025-01-19 00:00:00-16:55,진에어,"147,700"
2025-01-19 00:00:00-16:20,제주항공,"168,300"
2025-01-19 00:00:00-17:55,진에어,"174,500"
2025-01-19 00:00:00-17:20,진에어,"174,500"
2025-01-19 00:00:00-18:45,아시아나항공,"229,100"
2025-01-19 00:00:00-10:35,아시아나항공,"229,100"
2025-01-19 00:00:00-12:00,아시아나항공,"229,100"
2025-01-20 00:00:00-15:20,제주항공,"132,400"
2025-01-20 00:00:00-16:55,제주항공,"132,400"
2025-01-20 00:00:00-16:20,제주항공,"140,700"
2025-01-20 00:00:00-17:55,진에어,"147,700"
2025-01-20 00:00:00-06:30,진에어,"174,500"
2025-01-20 00:00:00-07:55,진에어,"174,500"
2025-01-20 00:00:00-17:20,제주항공,"183,000"
2025-01-20 00:00:00-18:45,아시아나항공,"229,100"
2025-01-20 00:00:00-06:50,아시아나항공,"229,100"
2025-01-20 00:00:00-08:10,아시아나항공,"229,100"
2025-01-22 00:00:00-15:20,제주항공,"124,100"
2025-01-22 00:00:00-16:55,제주항공,"124,100"
2025-01-22 00:00:00-16:20,제주항공,"132,400"
2025-01-22 00:00:00-17:55,진에어,"136,600"
2025-01-22 00:00:00-06:30,제주항공,"140,700"
2025-01-22 00:00:00-07:55,진에어,"158,400"
2025-01-22 00:00:00-17:20,진에어,"158,400"
2025-01-22 00:00:00-18:45,아시아나항공,"229,100"
2025-01-22 00:00:00-10:35,아시아나항공,"229,100"
2025-01-22 00:00:00-12:00,아시아나항공,"229,100"
2025-01-23 00:00:00-16:20,제주항공,"140,700"
2025-01-23 00:00:00-17:55,제주항공,"168,300"
2025-01-23 00:00:00-06:30,제주항공,"168,300"
2025-01-23 00:00:00-07:55,제주항공,"183,000"
2025-01-23 00:00:00-15:20,아시아나항공,"229,100"
2025-01-23 00:00:00-16:55,아시아나항공,"229,100"
2025-01-23 00:00:00-10:35,아시아나항공,"229,100"
2025-01-23 00:00:00-12:00,대한항공,"230,700"
2025-01-23 00:00:00-12:40,대한항공,"230,700"
2025-01-23 00:00:00-14:00,대한항공,"230,700"
2025-01-24 00:00:00-12:40,아시아나항공,"245,100"
2025-01-24 00:00:00-14:00,아시아나항공,"245,100"
2025-01-24 00:00:00-08:55,대한항공,"247,200"
2025-01-24 00:00:00-10:30,대한항공,"247,200"
2025-01-24 00:00:00-13:10,제주항공,"249,200"
2025-01-24 00:00:00-14:30,제주항공,"249,200"
2025-01-24 00:00:00-11:05,제주항공,"249,200"
2025-01-24 00:00:00-12:30,제주항공,"249,200"
2025-01-24 00:00:00-06:30,에어서울,"251,300"
2025-01-24 00:00:00-07:55,에어서울,"251,300"
2025-01-25 00:00:00-06:30,제주항공,"249,200"
2025-01-25 00:00:00-07:55,제주항공,"249,200"
2025-01-25 00:00:00-10:35,제주항공,"249,200"
2025-01-25 00:00:00-12:00,제주항공,"249,200"
2025-01-25 00:00:00-15:20,에어서울,"251,300"
2025-01-25 00:00:00-16:55,에어서울,"251,300"
2025-01-25 00:00:00-16:20,아시아나항공,"266,100"
2025-01-25 00:00:00-17:55,아시아나항공,"266,100"
